cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,poll_id,question_id
2020,Wyoming,2020-11-03,Biden,2020-10-20,2020-11-01,SurveyMonkey,330,lv,0.165557,0.165557,33,31.85685,31.8563,72663,136416
2020,Wyoming,2020-11-03,Biden,2020-10-18,2020-10-31,SurveyMonkey,361,lv,0.0257641,0.0256049,34,32.84583,32.83956,72525,136147
2020,Wyoming,2020-11-03,Biden,2020-10-17,2020-10-30,Survey Monkey,378,lv,0.0134396,0.0132735,33,31.85685,31.85175,72424,135950
2020,Wyoming,2020-11-03,Biden,2020-10-16,2020-10-29,Survey Monkey,1,LV,400,0.013703,33,31.85685,31.85221,72345,135785
2020,Wyoming,2020-11-03,Biden,2020-10-01,2020-10-28,SurveyMonkey,739,lv,0.1867351,0.1717317,31,29.88091,29.88982,72242,135582
2020,Wyoming,2020-11-03,Biden,2020-09-30,2020-10-27,SurveyMonkey,713,lv,0.0119884,0.0109511,32,30.86854,30.87991,72088,135215
2020,Wyoming,2020-11-03,Biden,2020-09-28,2020-10-25,SurveyMonkey,654,lv,0.021818,0.0192559,31,29.88091,29.91348,71978,134981
2020,Wisconsin,2020-11-03,Biden,2020-08-27,2020-09-05,Morning Consult,763,lv,0.0688391,0,50,49.89547,51.03762,68496,128232
2020,Wisconsin,2020-11-03,Biden,2020-09-02,2020-09-04,YouGov,978,lv,1.16881,0,50,50.24722,51.38994,68495,128231
2020,Wisconsin,2020-11-03,Biden,2020-08-26,2020-09-04,Morning Consult,775,lv,0.0720719,0,51,50.89549,52.0688,68490,128220
2020,Wisconsin,2020-11-03,Biden,2020-08-25,2020-09-03,Morning Consult,797,lv,0.0763917,0,52,51.89557,53.08863,68488,128216
2020,Wisconsin,2020-11-03,Biden,2020-08-17,2020-08-20,Hodas & Associates,600,lv,0.7015365,0,51.91,51.30148,52.5119,68485,128206
2020,Wisconsin,2020-11-03,Biden,2020-08-24,2020-09-02,Morning Consult,1,lv,0.0799419,0,52,51.89557,53.1062,68471,128182
2020,Wisconsin,2020-11-03,Biden,2020-08-23,2020-09-01,Morning Consult,809,lv,0.0812179,0,52,51.89557,53.11373,68457,128143
2020,Wisconsin,2020-11-03,Biden,2020-08-22,2020-08-31,Morning Consult,819,lv,0.0840924,0,53,52.8957,54.11799,68456,128142
2020,Wisconsin,2020-11-03,Biden,2020-08-20,2020-08-29,Morning Consult,797,lv,0.0865649,0,51,50.89549,52.12911,68455,128141
2020,Wisconsin,2020-11-03,Biden,2020-08-19,2020-08-28,Morning Consult,797,lv,0.0889819,0,51,50.89549,52.13099,68454,128140
2020,Wisconsin,2020-11-03,Biden,2020-08-17,2020-08-26,Morning Consult,797,lv,0.0870957,0,52,51.89557,53.11942,68452,128138
2020,Wisconsin,2020-11-03,Biden,2020-08-15,2020-08-24,Morning Consult,797,lv,0.0807407,0,50,49.89547,51.10677,68450,128136
2020,Wisconsin,2020-11-03,Biden,2020-08-14,2020-08-23,Morning Consult,797,lv,0.0794119,0,51,50.89549,52.09915,68449,128135
2020,Wisconsin,2020-11-03,Biden,2020-08-13,2020-08-22,Morning Consult,797,lv,0.0786242,0,50,49.89547,51.08849,68448,128134
2020,Wisconsin,2020-11-03,Biden,2020-08-12,2020-08-21,Morning Consult,797,lv,0.0778953,0,50,49.89547,51.07835,68447,128133
2020,Wisconsin,2020-11-03,Biden,2020-08-11,2020-08-20,Morning Consult,797,lv,0.0674295,0,51,50.89549,52.02598,68446,128132
2020,Wisconsin,2020-11-03,Biden,2020-08-10,2020-08-19,Morning Consult,797,lv,0.0624365,99,51,50.89549,51.99853,68445,128131
2020,Wisconsin,2020-11-03,Biden,2020-08-09,2020-08-18,Morning Consult,797,lv,0.0581756,0,50,49.89547,50.98494,68444,128130
2020,Wisconsin,2020-11-03,Biden,2020-08-08,2020-08-17,Morning Consult,797,lv,0.0541751,0,48,47.89558,48.99105,68443,128129
2020,Wisconsin,2020-11-03,Biden,2020-08-06,2020-08-15,Morning Consult,797,lv,0.1051971,0,50,49.89547,51.00303,68442,128128
2020,Wisconsin,2020-11-03,Biden,2020-08-05,2020-08-14,Morning Consult,797,lv,0.0532087,0,50,49.89547,51.00856,68441,128127
2020,Wisconsin,2020-11-03,Biden,2020-08-04,2020-08-13,NA,99,lv,0.053966,0,50,49.89547,51.01786,68440,128126
2020,Wisconsin,2020-11-03,Biden,2020-08-03,2020-08-12,Morning Consult,797,lv,0.054839,0,50,49.89547,51.03081,68439,128125
2020,Wisconsin,2020-11-03,Biden,2020-08-02,2020-08-11,Morning Consult,797,lv,0.0572927,0,50,49.89547,51.06627,68438,128124
2020,Wisconsin,2020-11-03,Biden,2020-08-01,2020-08-10,Morning Consult,797,lv,0.0580641,0,50,49.89547,51.07791,68437,128123
2020,Wisconsin,2020-11-03,Biden,2020-07-31,2020-08-09,Morning Consult,797,lv,0.0588776,0,50,49.89547,51.08915,68436,128122
2020,Wisconsin,2020-11-03,Biden,2020-07-30,2020-08-08,Morning Consult,797,lv,0.0598521,0,51,50.89549,52.09869,68435,128121
2020,Wisconsin,2020-11-03,Biden,2020-07-29,2020-08-07,Morning Consult,797,lv,0.0608936,0,51,50.89549,52.10946,68434,128120
2020,Wisconsin,2020-11-03,Biden,2020-07-28,2020-08-06,Morning Consult,797,lv,0.0609195,0,51,50.89549,52.12191,68433,128119
2020,Wisconsin,2020-11-03,Biden,2020-07-27,2020-08-05,Morning Consult,797,lv,0.0608776,0,51,50.89549,52.13704,68432,128118
2020,Wisconsin,2020-11-03,Biden,2020-07-26,2020-08-04,Morning Consult,797,NA,0.0608964,0,51,50.89549,52.14967,68431,128117
2020,Wisconsin,2020-11-03,Biden,2020-07-25,2020-08-03,Morning Consult,797,lv,0.0609235,0,51,50.89549,52.16029,68430,128116
2020,Wisconsin,2020-11-03,Biden,2020-07-24,2020-08-02,Morning Consult,797,lv,0.0610143,0,52,51.89557,53.17028,68429,128115
2020,Wisconsin,2020-11-03,Biden,2020-07-23,2020-08-01,Morning Consult,797,lv,0.0612279,0,51,50.89549,52.18348,68428,128114
2020,Wisconsin,2020-11-03,Biden,2020-07-22,2020-07-31,Morning Consult,797,lv,0.0616187,0,50,49.89547,51.19632,68427,128113
2020,National,2020-11-03,Biden,2020-10-10,2020-10-12,SurveyMonkey,10971,lv,0.0222101,0.0045781,51.78,50.7513,50.70082,70923,132702
2020,National,2020-11-03,Biden,2020-10-09,2020-10-11,SurveyMonkey,19886,lv,0.0414933,0.007943,51.49,50.46113,50.42536,70922,132701
2020,National,2020-11-03,Biden,2020-10-08,2020-10-10,SurveyMonkey,25748,lv,0.0553771,0.0098171,52.36,51.33177,51.31301,70921,132700
2020,National,2020-11-03,Biden,2020-10-07,2020-10-09,SurveyMonkey,34460,lv,0.0786327,0.0117644,52.74,51.71218,51.73128,70920,132699
2020,National,2020-11-03,Biden,2020-10-06,2020-10-08,SurveyMonkey,33925,lv,0.0801546,0.0107681,53.35,52.32298,52.36193,70919,132698
2020,National,2020-11-03,Biden,2020-10-05,2020-10-07,SurveyMonkey,30687,lv,0.0792478,0.0070191,53.28,52.25288,52.35821,70918,132697
2020,National,2020-11-03,Biden,2020-10-04,2020-10-06,SurveyMonkey,20168,lv,0.0532837,0.0039204,53.26,52.23285,52.36133,70917,132696
2020,National,2020-11-03,Biden,2020-10-03,2020-10-05,SurveyMonkey,12691,lv,0.0345475,0.0020182,52.72,51.69215,51.84409,70916,132695
2020,National,2020-11-03,Biden,2020-10-02,2020-10-04,SurveyMonkey,12510,lv,0.035309,0.0015304,52.33,51.30174,51.47744,70915,132694
2020,National,2020-11-03,Biden,2020-10-01,2020-10-03,SurveyMonkey,17645,lv,0.0515271,0.0014719,52.04,51.01149,51.21507,70914,132693
2020,National,2020-11-03,Biden,2020-09-30,2020-10-02,SurveyMonkey,21170,lv,0.0639868,9.017e-4,51.96,50.93142,51.1632,70913,132692
2020,National,2020-11-03,Biden,2020-09-29,2020-10-01,SurveyMonkey,24022,lv,0.0768573,0,52.02,50.99147,51.35799,70912,132691
2020,National,2020-11-03,Biden,2020-09-28,2020-09-30,SurveyMonkey,24292,lv,0.0772955,0,51.78,50.7513,51.1552,70911,132690
2020,National,2020-11-03,Biden,2020-09-27,2020-09-29,SurveyMonkey,20951,lv,0.0633046,0,51.85,50.82134,51.39215,70910,132689
2020,National,2020-11-03,Biden,2020-09-26,2020-09-28,SurveyMonkey,15482,lv,0.0457482,0,51.89,50.86137,51.47955,70909,132688
2020,National,2020-11-03,Biden,2020-09-25,2020-09-27,SurveyMonkey,15443,lv,0.0446186,0,51.74,50.71127,51.3777,70908,132687
2020,National,2020-11-03,Biden,2020-09-24,2020-09-26,SurveyMonkey,21047,lv,0.0595361,0,51.71,50.68125,51.3933,70907,132686
2020,National,2020-11-03,Biden,2020-09-23,2020-09-25,SurveyMonkey,23974,lv,0.0667864,0,52.1,51.07154,51.82502,70906,132685
2020,National,2020-11-03,Biden,2020-09-22,2020-09-24,SurveyMonkey,22170,lv,0.0612739,0,52.37,51.34178,52.13557,70905,132684
2020,National,2020-11-03,Biden,2020-09-20,2020-09-22,SurveyMonkey,13675,lv,0.0379662,0,52.68,51.65211,52.52618,70903,132682
2020,National,2020-11-03,Biden,2020-09-19,2020-09-21,SurveyMonkey,9248,lv,0.0256242,0,51.45,50.42111,51.33355,70902,132681
2020,National,2020-11-03,Biden,2020-09-18,2020-09-20,SurveyMonkey,8738,lv,0.0241282,0,51.59,50.56118,51.50772,70901,132680
2020,National,2020-11-03,Biden,2020-09-17,2020-09-19,SurveyMonkey,12696,lv,0.034951,99,51.32,50.29105,51.27063,70900,132679
2020,National,2020-11-03,Biden,2020-09-16,2020-09-18,SurveyMonkey,16194,lv,0.0446412,0,52.46,51.43187,52.44317,70899,132678
2020,National,2020-11-03,Biden,2020-09-15,2020-09-17,SurveyMonkey,18003,lv,0.0497573,0,53.08,52.0526,53.09402,70898,132677
2020,National,2020-11-03,Biden,2020-09-14,2020-09-16,SurveyMonkey,18332,lv,0.0509818,0,53.26,52.23285,53.30558,70897,132676
2020,Wisconsin,2020-11-03,Biden,2020-06-26,2020-06-28,Change Research,502,lv,0.5248306,0,51,51.30438,52.63076,66961,125034
2020,Wisconsin,2020-11-03,Biden,2020-06-23,2020-06-25,Trafalgar Group,1021,lv,0.6540527,0,44.6,47.58689,48.91557,66932,124981
2020,Wisconsin,2020-11-03,Biden,2020-06-14,2020-06-19,Redfield & Wilton Strategies,846,lv,0.7862581,0,45,45.89742,47.23138,66909,124936
2020,Wisconsin,2020-11-03,Biden,2020-06-12,2020-06-16,Hodas & Associates,600,lv,0.7015365,0,55.33,54.725,56.09633,66901,124920
2020,Wisconsin,2020-11-03,Biden,2020-06-08,2020-06-15,Siena College/The New York Times Upshot,655,rv,1.218247,0,49,50.18238,51.61221,66897,124899
2020,Wisconsin,2020-11-03,Biden,2020-01-08,2020-01-12,Marquette University Law School,701,lv,1.45004,0,48,48.01514,50.75769,63282,124824
2020,Wisconsin,2020-11-03,Biden,2019-12-03,2019-12-08,Marquette University Law School,652,lv,1.284856,0,49,49.01516,52.14749,63090,124823
2020,Wisconsin,2020-11-03,Biden,2019-11-13,2019-11-17,Marquette University Law School,685,lv,1.375621,0,45,45.01506,47.43135,62674,124822
2020,Wisconsin,2020-11-03,Biden,2020-06-12,2020-06-14,Change Research,231,lv,0.3064567,0,48,48.30422,49.69922,66831,124715
2020,Wisconsin,2020-11-03,Biden,2020-05-30,2020-06-02,Fox News/Beacon Research/Shaw & Co. Research,801,rv,1.294408,0,49,50.06056,51.8259,66726,124471
2020,Wisconsin,2020-11-03,Biden,2020-05-29,2020-05-31,Change Research,382,lv,0.4973621,0,45,45.30266,47.1792,66715,124439
2020,Wisconsin,2020-11-03,Biden,2020-05-10,2020-05-14,Redfield & Wilton Strategies,875,lv,0.7969701,0,48,48.90163,51.48478,66507,123931
2020,Wisconsin,2020-11-03,Biden,2020-05-06,2020-05-08,Hodas & Associates,600,lv,0.7015365,0,51.5,50.8913,53.54177,66402,123703
2020,Wisconsin,2020-11-03,Biden,2020-04-13,2020-04-15,Hodas & Associates,600,lv,0.7015365,0,50,49.39109,51.93487,65908,122094
2020,Wisconsin,2020-11-03,Biden,2020-04-20,2020-04-21,Public Policy Polling,1415,v,1.130882,0,50,48.75104,51.24468,65903,122086
2020,Wisconsin,2020-11-03,Biden,2020-04-15,2020-04-20,Ipsos,645,rv,0.8281578,0,43,44.38225,46.88367,65865,121903
2020,Wisconsin,2020-11-03,Biden,2020-04-06,2020-04-08,Garin-Hart-Yang Research Group,301,lv,0.4699908,0,48,46.60241,49.49724,65735,121499
2020,Wisconsin,2020-11-03,Biden,2020-03-24,2020-03-29,Marquette University Law School,813,rv,1.467748,0,48,48.90282,51.76805,65050,120701
2020,Wisconsin,2020-11-03,Biden,2020-03-17,2020-03-19,Hodas & Associates,600,lv,0.7015365,0,46.5,45.89333,48.60472,65003,120541
2020,Wisconsin,2020-11-03,Biden,2020-03-17,2020-03-25,Baldwin Wallace University,822,rv,0.6705672,0,44.9,46.21757,48.99532,64988,120502
2020,Wisconsin,2020-11-03,Biden,2020-03-10,2020-03-11,Public Policy Polling,1727,v,1.749676,0,48,47.4684,50.16145,64807,119955
2020,Wisconsin,2020-11-03,Biden,2020-03-06,2020-03-08,YouGov,459,rv,0.6826778,0,44,45.12686,47.78362,64768,119818
2020,Wisconsin,2020-11-03,Biden,2020-03-05,2020-03-07,Optimus,502,lv,0.6686068,0,43.07,44.42627,47.03608,64757,119789
2020,Wisconsin,2020-11-03,Biden,2020-02-06,2020-02-18,Expedition Strategies,500,rv,0.6358964,0,42,43.48149,46.23914,64743,119732
2020,Wisconsin,2020-11-03,Biden,2020-02-19,2020-02-23,Marquette University Law School,1000,rv,1.76694,0,46,46.90047,49.70446,64588,119094
2020,Wisconsin,2020-11-03,Biden,2020-02-11,2020-02-20,YouGov,936,rv,1.123359,0,45,46.12972,48.92914,64500,118781
2020,Wisconsin,2020-11-03,Biden,2020-02-12,2020-02-18,Quinnipiac University,823,rv,1.210217,0,42,43.12814,45.88309,64472,118606
2020,Wisconsin,2020-11-03,Biden,2020-01-14,2020-01-16,Tarrance Group,500,lv,0.8299353,0,47,46.8578,49.60072,63578,117018
2020,Wisconsin,2020-11-03,Biden,2020-01-05,2020-01-08,Fox News/Beacon Research/Shaw & Co. Research,1504,rv,2.083902,0,46,47.05737,49.87545,63246,115582
2020,Wisconsin,2020-11-03,Biden,2019-12-03,2019-12-05,Optimus,610,lv,0.7452961,0,39.08,40.41311,43.37107,63026,114314
2020,West Virginia,2020-11-03,Biden,2020-10-20,2020-11-01,SurveyMonkey,738,lv,0.3180303,0.3180303,32,31.39679,31.40447,72664,136417
2020,West Virginia,2020-11-03,Biden,2020-10-18,2020-10-31,SurveyMonkey,798,lv,0.0479016,0.0467876,33,32.39066,32.39459,72526,136148
2020,West Virginia,2020-11-03,Biden,2020-10-17,2020-10-30,SurveyMonkey,805,lv,0.0236638,0.0225631,32,31.39679,31.40177,72425,135951
2020,West Virginia,2020-11-03,Biden,2020-10-16,2020-10-29,SurveyMonkey,791,lv,0.0228282,0.0212355,32,31.39679,31.40299,72346,135786
2020,West Virginia,2020-11-03,Biden,2020-10-01,2020-10-28,SurveyMonkey,1359,lv,0.2470967,0.172393,32,31.39679,31.41024,72243,135583
2020,West Virginia,2020-11-03,Biden,2020-09-30,2020-10-27,SurveyMonkey,1315,lv,0.0161758,0.0109093,33,32.39066,32.40425,72089,135216
